Rank,city,civ,2006 census,"Total
area (km2)","Population
density (/km2)"
1,Lagos[a],nigeria,8048430,1171.3,6871
2,Kano[b],nigeria,2828861,449,6300
3,Ibadan[c],nigeria,2559853,3080,831
4,Benin City[d],nigeria,1147188,1204,953
5,Port Harcourt[e],nigeria,1005904,369,2726
6,Jos[f],nigeria,821618,1821,451
7,Ilorin[g],nigeria,777667,765,1016
8,Abuja,nigeria,776298,1769,439'
9,Kaduna[h],nigeria,760084,131,5802
10,Enugu[i],nigeria,722664,556,1300
11,Zaria[j],nigeria,695089,563,1234.6
12,Ogbomosho[k],nigeria,602539,,
13,Warri[l],nigeria,557398,,
14,Ikorodu,nigeria,535619,345,1553
15,Maiduguri,nigeria,543016,137,3964
16,Aba[m],nigeria,534265,72,7400
17,Bauchi,nigeria,493810,3687,134
18,Akure,nigeria,484798,991,489
19,Abeokuta,nigeria,451607,879,510
20,Oyo[n],nigeria,428798,2427,177
21,Uyo,nigeria,427873,362,1182
22,Sokoto,nigeria,427760,,
23,Owerri,nigeria,401873,551,729
24,Yola,nigeria,392854,831,473
25,Calabar,nigeria,371022,406,910
26,Ife,nigeria,396508,1750,284
27,Umuahia[o],nigeria,359230,385,933
28,Ondo,nigeria,358430,,
29,Minna[p],nigeria,348788,1664,209
30,Lafia,nigeria,330712,,
31,Okene,nigeria,320260,328,976.4
32,Katsina,nigeria,318459,142,2243
-,Ikeja,nigeria,313196,49.92,6274
33,Nsukka,nigeria,309633,45.38,
34,Ado Ekiti,nigeria,308621,293,1053
35,Awka,nigeria,301657,,
36,Iseyin,nigeria,286700,1820,
37,Mubi[q],nigeria,280009,1317,
38,Onitsha[r],nigeria,261604,52,5030.8
39,Sagamu,nigeria,253412,,
40,Makurdi,nigeria,249000,,
41,Mokwa,nigeria,244937,4338,56.4
42,Badagry,nigeria,241093,441,547
43,Ilesa,nigeria,233900,,
44,Gombe,nigeria,230900,,
45,Obafemi Owode,nigeria,228851,1410,162
46,Owo,nigeria,218886,1027,213
47,Jimeta,nigeria,218400,,
48,Suleja,nigeria,216578,119,1820
49,Lavun,nigeria,209917,2835,74
50,Potiskum,nigeria,205876,559,368
51,Kukawa,nigeria,203864,4901,41.6
52,Gusau,nigeria,201200,,
53,Iwo,nigeria,191377,214,894
54,Bida,nigeria,188181,51,3689
55,Ugep,nigeria,187000,,
56,Ijebu Ode,nigeria,186700,,
57,Epe,nigeria,181409,965,188
58,Ise Ekiti,nigeria,167100,,
59,Gboko,nigeria,166400,,
60,Ilawe Ekiti,nigeria,160700,,
61,Ikare,nigeria,160600,,
62,Osogbo[s],nigeria,156694,47,3334
63,Okpoko,nigeria,152900,,
64,Garki,nigeria,152233,1408,108.12
65,Sapele,nigeria,151000,,
66,Ila,nigeria,150700,,
67,Shaki,nigeria,150300,,
68,Ijero,nigeria,147300,,
69,Ikot Ekpene,nigeria,143077,116,1233
70,Jalingo,nigeria,139845,,
71,Otukpo,nigeria,136800,,
72,Okigwe,nigeria,132237,,
73,Kisi,nigeria,130800,,
74,Buguma,nigeria,124200,,
75,Funtua,nigeria,122500,,
76,Abakaliki,nigeria,151723,,
77,Asaba[t],nigeria,149603,268,558
78,Gbongan,nigeria,117300,,
79,Igboho,nigeria,115000,,
80,Gashua,nigeria,109600,,
81,Bama,nigeria,102800,,
82,Uromi,nigeria,101400,,
